token,description
73030fb67d3c46cfb5e590168088ae39,Construction  maneuver between several trucks
73030fb67d3c46cfb5e590168088ae39,Construction  maneuver between several trucks
73030fb67d3c46cfb5e590168088ae39,Construction  maneuver between several trucks
c3e0e9f6ee8d4170a3d22a6179f1ca3a,Intersection  peds  waiting vehicle  parked motorcycle at parking lot
c3e0e9f6ee8d4170a3d22a6179f1ca3a,Intersection  peds  waiting vehicle  parked motorcycle at parking lot
c3e0e9f6ee8d4170a3d22a6179f1ca3a,Intersection  peds  waiting vehicle  parked motorcycle at parking lot
25496f19ffd14bd088cb430bfc01a4d7,Random scene  arrive at intersection  cross intersection  jaywalkers
25496f19ffd14bd088cb430bfc01a4d7,Random scene  arrive at intersection  cross intersection  jaywalkers
25496f19ffd14bd088cb430bfc01a4d7,Random scene  arrive at intersection  cross intersection  jaywalkers
6f5133fe62b240e797bac25aeff8b531,Overtaken by taxi  construction site
6f5133fe62b240e797bac25aeff8b531,Overtaken by taxi  construction site
6f5133fe62b240e797bac25aeff8b531,Overtaken by taxi  construction site
7deb4760e2244f32b57f9d631b535b66,Sitting construction worker  parked bicycle  ped walking along road  construction vehicle  worker sitting on back of van
7deb4760e2244f32b57f9d631b535b66,Sitting construction worker  parked bicycle  ped walking along road  construction vehicle  worker sitting on back of van
7deb4760e2244f32b57f9d631b535b66,Sitting construction worker  parked bicycle  ped walking along road  construction vehicle  worker sitting on back of van
bc219c0fa63b43b4b9dddab47fce1fef,Van overtaking us  peds  jaywalker  bicycle rack  turn left
bc219c0fa63b43b4b9dddab47fce1fef,Van overtaking us  peds  jaywalker  bicycle rack  turn left
bc219c0fa63b43b4b9dddab47fce1fef,Van overtaking us  peds  jaywalker  bicycle rack  turn left
9a61a88ed9094334a73aa93c08222110,Several moving pedestrians  parked cards and motorcycle
9a61a88ed9094334a73aa93c08222110,Several moving pedestrians  parked cards and motorcycle
9a61a88ed9094334a73aa93c08222110,Several moving pedestrians  parked cards and motorcycle
dd61533869aa48f2aaa7e8a6418bdbe6,Peds crossing  parked cars  garbage  peds waiting
dd61533869aa48f2aaa7e8a6418bdbe6,Peds crossing  parked cars  garbage  peds waiting
